movie_id,user_id,rating,name,year,runtime(min),imdb_rating,meta_score,genre
tt0167260,terrylarosa,10,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"Action, Adventure, Drama"
tt0167260,Hitchcoc,10,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"Action, Adventure, Drama"
tt0110912,kylopod,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,bevo-13678,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,SebMoz,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,gogoschka-1,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,gautammayya,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,hockeydog-75085,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,tfrizzell,,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,jaaanmerz,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,Jeremy_Urquhart,10,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt0110912,auuwws,9,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt1375666,adrien_ngoc_1701,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,EVON1TY,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,srcooper-756-646671,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,mrmocun,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,naman-avastol,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,Ch4ndler_B1ng,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,D_Burke,10,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,planktonrules,8,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,konradbuczak,8,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt1375666,dvc5159,8,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt0109830,Smells_Like_Cheese,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,thomas-hardcastle-2,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,Zonieboy,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,inspectors71,9,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,Hitchcoc,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,blairgallop7,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,kenhe,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,george.schmidt,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,schmimic,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0109830,john in missouri,10,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0137523,Pukeonthestreet,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,grantss,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,Leofwine_draca,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,gogoschka-1,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,TheLittleSongbird,9,Fight Club,1999,139,8.8,66,Drama
tt0137523,trosati-98923,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,ArthvrPendrag0n,8,Fight Club,1999,139,8.8,66,Drama
tt0137523,MrPupkin,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,johnnysilverhand-13047,10,Fight Club,1999,139,8.8,66,Drama
tt0137523,angryleprechaun,10,Fight Club,1999,139,8.8,66,Drama
tt0120737,ccthemovieman-1,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,mosquitobite,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,bonnie91,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,adamscastlevania2,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,MrHeraclius,,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,NRGWasp,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,classicsoncall,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,Leofwine_draca,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,jaesboxer,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0120737,EVON1TY,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0060196,Smells_Like_Cheese,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,MadReviewer,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,Quinoa1984,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,murtaza_mma,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,spider89119,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,gogoschka-1,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,Steffi_P,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,perica-43151,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,dr_foreman,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0060196,steven-f-freeman,10,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
